venta_id,cliente_id,producto_id,fecha_venta,cantidad,total,metodo_pago,realizo_review
1,1,3,2024-01-15,2,259.98,Tarjeta,Sí
2,2,1,2024-01-16,1,899.99,PayPal,No
3,3,5,2024-01-17,3,77.97,Efectivo,Sí
4,4,8,2024-01-18,1,459.99,Tarjeta,Sí
5,5,2,2024-01-19,2,91.00,Efectivo,No
6,6,4,2024-01-20,1,78.25,PayPal,Sí
7,7,7,2024-01-21,1,56.40,Tarjeta,No
8,8,6,2024-01-22,3,104.25,Efectivo,Sí
9,9,3,2024-01-23,1,129.99,PayPal,No
10,10,1,2024-01-24,2,1799.98,Tarjeta,Sí
11,1,5,2024-01-25,1,25.99,Efectivo,Sí
12,2,4,2024-01-26,2,156.50,PayPal,No
13,3,2,2024-01-27,1,45.50,Tarjeta,Sí
14,4,7,2024-01-28,1,56.40,Efectivo,No
15,5,8,2024-01-29,1,459.99,PayPal,Sí
